doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
avakids-exchange-policy,data/policies/avakids-exchange-policy.md,Chính sách đổi sản phẩm theo nhóm hàng tại AVAKids,https://www.avakids.com/bao-hanh-doi-tra,2026-09-20,not-stated,public-source-manual-curation
dmx-marketplace-return-rules,data/policies/dmx-marketplace-return-rules.md,Quy định đổi trả trên Sàn TMĐT Điện Máy Xanh,https://www.dienmayxanh.com/quy-che-san-dien-may-xanh,2026-09-20,not-stated,public-source-manual-curation
dmx-retail-exchange-policy,data/policies/dmx-retail-exchange-policy.md,Chính sách đổi sản phẩm tại TGDĐ và Điện Máy Xanh,https://www.dienmayxanh.com/chinh-sach-bao-hanh-san-pham,2026-09-20,source-page-updated-2023-09-01,public-source-manual-curation
hacom-warranty-process,data/policies/hacom-warranty-process.md,Quy trình và điều kiện bảo hành HACOM,https://hacom.vn/chinh-sach-bao-hanh,2026-09-20,not-stated,public-source-manual-curation
hacom-warranty-special-return,data/policies/hacom-warranty-special-return.md,Chính sách bảo hành và đổi trả đặc biệt HACOM,https://hacom.vn/chinh-sach-bao-hanh-chi-tiet,2026-09-20,not-stated,public-source-manual-curation
lazada-joint-inspection-both,data/policies/lazada-joint-inspection-both.md,Chính sách đồng kiểm Lazada cho các bên,https://sellercenter.lazada.vn/helpcenter/s/faq/knowledge?&language=vi&m_station=BuyerHelp&questionId=1000149544&hybrid=1&flag=tempWebview,2026-09-20,not-stated,public-source-manual-curation
lazada-joint-inspection-buyer,data/policies/lazada-joint-inspection-buyer.md,Chính sách đồng kiểm Lazada cho người mua,https://sellercenter.lazada.vn/helpcenter/s/faq/knowledge?&language=vi&m_station=BuyerHelp&questionId=1000149544&hybrid=1&flag=tempWebview,2026-09-20,not-stated,public-source-manual-curation
lazada-joint-inspection-seller,data/policies/lazada-joint-inspection-seller.md,Chính sách đồng kiểm Lazada cho Nhà Bán Hàng,https://sellercenter.lazada.vn/helpcenter/s/faq/knowledge?&language=vi&m_station=BuyerHelp&questionId=1000149544&hybrid=1&flag=tempWebview,2026-09-20,not-stated,public-source-manual-curation
shopee-return-refund-policy,data/policies/shopee-return-refund-policy.md,Chính sách đổi trả và hoàn tiền Shopee,https://banhang.shopee.vn/edu/article/563,2026-09-20,not-stated,public-source-manual-curation
shopee-warranty-policy,data/policies/shopee-warranty-policy.md,Chính sách bảo hành sản phẩm mua tại Shopee,https://help.shopee.vn/portal/4/article/79046-[Quy-%C4%91%E1%BB%8Bnh]-Ch%C3%ADnh-s%C3%A1ch-b%E1%BA%A3o-h%C3%A0nh-cho-s%E1%BA%A3n-ph%E1%BA%A9m-mua-t%E1%BA%A1i-Shopee,2026-09-20,not-stated,public-source-manual-curation
